iter	Passed	Remaining
0	4	4866
1	8	4023
2	11	3749
3	14	3665
4	18	3688
5	22	3655
6	25	3578
7	28	3510
8	32	3612
9	38	3790
10	44	3966
11	49	4096
12	53	4093
13	57	4053
14	63	4188
15	68	4220
16	71	4156
17	74	4090
18	78	4065
19	82	4063
20	86	4023
21	89	3973
22	92	3945
23	99	4048
24	104	4060
25	108	4079
26	114	4142
27	118	4124
28	123	4151
29	130	4212
30	134	4194
31	138	4175
32	142	4182
33	146	4172
34	151	4176
35	156	4190
36	162	4228
37	166	4202
38	171	4216
39	177	4256
40	183	4294
41	188	4305
42	194	4331
43	199	4337
44	203	4326
45	208	4328
46	215	4367
47	221	4396
48	226	4405
49	231	4407
50	235	4390
51	241	4396
52	245	4387
53	248	4358
54	252	4333
55	257	4342
56	261	4327
57	265	4307
58	268	4287
59	274	4305
60	280	4311
61	284	4309
62	289	4309
63	294	4300
64	298	4298
65	304	4302
66	308	4296
67	311	4274
68	315	4252
69	320	4256
70	324	4243
71	327	4222
72	330	4201
73	337	4224
74	341	4211
75	345	4202
76	349	4193
77	354	4192
78	360	4206
79	367	4221
80	371	4213
81	375	4203
82	378	4182
83	382	4174
84	387	4175
85	391	4160
86	395	4151
87	401	4162
88	404	4143
89	408	4135
90	413	4131
91	418	4127
92	422	4122
93	425	4104
94	430	4098
95	434	4088
96	437	4070
97	440	4055
98	446	4065
99	451	4062
100	456	4060
101	460	4050
102	465	4052
103	469	4045
104	474	4044
105	478	4039
106	482	4029
107	487	4030
108	493	4034
109	498	4035
110	503	4032
111	508	4034
112	514	4037
113	519	4037
114	522	4023
115	527	4016
116	531	4011
117	535	4003
118	539	3990
119	545	3999
120	549	3992
121	552	3979
122	556	3967
123	562	3977
124	567	3971
125	573	3978
126	578	3977
127	582	3965
128	585	3952
129	588	3939
130	593	3936
131	597	3929
132	601	3918
133	604	3905
134	609	3904
135	612	3893
136	618	3898
137	623	3895
138	627	3885
139	631	3880
140	635	3868
141	639	3861
142	643	3856
143	646	3845
144	650	3838
145	655	3833
146	659	3824
147	664	3822
148	670	3827
149	674	3821
150	678	3814
151	681	3803
152	687	3807
153	692	3804
154	697	3801
155	702	3802
156	707	3797
157	712	3797
158	717	3793
159	722	3790
160	727	3789
161	731	3781
162	736	3784
163	741	3777
164	747	3781
165	753	3786
166	759	3787
167	763	3781
168	769	3785
169	773	3776
170	777	3770
171	783	3772
172	787	3764
173	793	3769
174	798	3763
175	803	3762
176	807	3752
177	811	3748
178	816	3745
179	821	3742
180	825	3736
181	830	3730
182	836	3735
183	841	3732
184	846	3727
185	852	3730
186	858	3732
187	862	3727
188	867	3720
189	870	3710
190	873	3700
191	879	3701
192	883	3693
193	887	3687
194	891	3680
195	897	3680
196	901	3675
197	907	3676
198	912	3673
199	918	3674
200	923	3672
201	930	3676
202	936	3676
203	941	3673
204	946	3672
205	951	3669
206	955	3660
207	959	3652
208	963	3647
209	966	3637
210	972	3635
211	978	3637
212	982	3630
213	987	3625
214	991	3618
215	996	3618
216	1002	3618
217	1009	3619
218	1014	3617
219	1017	3609
220	1021	3599
221	1026	3599
222	1032	3596
223	1035	3588
224	1040	3584
225	1044	3578
226	1049	3572
227	1054	3569
228	1060	3571
229	1066	3571
230	1070	3563
231	1077	3565
232	1081	3558
233	1085	3552
234	1091	3554
235	1098	3555
236	1104	3556
237	1108	3549
238	1113	3546
239	1118	3543
240	1123	3538
241	1127	3532
242	1132	3529
243	1139	3529
244	1143	3524
245	1147	3518
246	1154	3519
247	1158	3512
248	1162	3505
249	1165	3497
250	1170	3492
251	1174	3486
252	1177	3477
253	1181	3471
254	1186	3467
255	1190	3458
256	1193	3451
257	1198	3447
258	1203	3442
259	1208	3440
260	1213	3436
261	1218	3432
262	1222	3426
263	1227	3420
264	1234	3422
265	1237	3415
266	1243	3413
267	1247	3406
268	1253	3406
269	1256	3397
270	1259	3389
271	1264	3383
272	1267	3376
273	1271	3368
274	1275	3363
275	1280	3359
276	1285	3354
277	1289	3350
278	1294	3344
279	1300	3345
280	1305	3339
281	1311	3338
282	1316	3336
283	1321	3332
284	1326	3329
285	1333	3329
286	1338	3324
287	1344	3323
288	1349	3319
289	1353	3314
290	1357	3308
291	1362	3304
292	1366	3296
293	1369	3288
294	1373	3283
295	1379	3279
296	1383	3273
297	1387	3267
298	1390	3261
299	1395	3255
300	1401	3254
301	1406	3249
302	1410	3245
303	1414	3239
304	1419	3234
305	1423	3229
306	1430	3227
307	1434	3223
308	1439	3218
309	1443	3211
310	1447	3206
311	1451	3200
312	1455	3194
313	1460	3189
314	1463	3183
315	1467	3176
316	1472	3173
317	1477	3168
318	1482	3164
319	1487	3161
320	1492	3156
321	1498	3154
322	1502	3150
323	1507	3144
324	1512	3140
325	1515	3134
326	1521	3131
327	1527	3129
328	1531	3124
329	1537	3121
330	1542	3117
331	1548	3115
332	1554	3112
333	1559	3110
334	1563	3104
335	1567	3097
336	1572	3092
337	1576	3087
338	1580	3081
339	1586	3080
340	1591	3075
341	1596	3072
342	1602	3069
343	1607	3064
344	1610	3057
345	1613	3050
346	1616	3042
347	1620	3035
348	1625	3031
349	1628	3024
350	1633	3020
351	1638	3015
352	1642	3010
353	1647	3006
354	1651	3001
355	1655	2995
356	1659	2988
357	1663	2982
358	1666	2976
359	1670	2969
360	1673	2963
361	1678	2957
362	1682	2952
363	1686	2947
364	1691	2943
365	1696	2938
366	1700	2932
367	1705	2928
368	1710	2924
369	1714	2918
370	1718	2914
371	1724	2911
372	1729	2906
373	1733	2901
374	1739	2898
375	1743	2893
376	1749	2891
377	1753	2885
378	1759	2882
379	1762	2875
380	1766	2869
381	1770	2863
382	1773	2856
383	1777	2852
384	1781	2845
385	1785	2840
386	1789	2834
387	1795	2832
388	1800	2827
389	1806	2825
390	1810	2820
391	1813	2813
392	1817	2807
393	1822	2803
394	1828	2800
395	1832	2794
396	1836	2788
397	1841	2784
398	1846	2781
399	1850	2776
400	1856	2772
401	1862	2770
402	1866	2764
403	1869	2757
404	1874	2753
405	1877	2746
406	1881	2741
407	1887	2738
408	1891	2733
409	1896	2729
410	1903	2727
411	1907	2722
412	1912	2717
413	1915	2711
414	1920	2707
415	1924	2701
416	1927	2695
417	1931	2689
418	1936	2685
419	1940	2680
420	1944	2674
421	1948	2668
422	1953	2664
423	1957	2658
424	1960	2652
425	1964	2647
426	1970	2643
427	1974	2639
428	1979	2635
429	1985	2631
430	1989	2625
431	1993	2621
432	1998	2617
433	2003	2612
434	2008	2609
435	2013	2604
436	2019	2602
437	2023	2596
438	2027	2590
439	2033	2588
440	2037	2583
441	2041	2576
442	2047	2573
443	2053	2571
444	2059	2568
445	2064	2563
446	2068	2559
447	2072	2553
448	2076	2548
449	2081	2544
450	2086	2539
451	2089	2533
452	2093	2528
453	2098	2524
454	2102	2517
455	2107	2513
456	2111	2508
457	2115	2503
458	2119	2498
459	2123	2492
460	2128	2488
461	2131	2482
462	2135	2477
463	2139	2471
464	2145	2468
465	2150	2463
466	2153	2457
467	2159	2455
468	2165	2452
469	2170	2447
470	2176	2443
471	2180	2439
472	2186	2436
473	2192	2432
474	2196	2427
475	2200	2422
476	2204	2417
477	2209	2412
478	2212	2406
479	2216	2401
480	2220	2396
481	2226	2392
482	2230	2387
483	2234	2381
484	2238	2377
485	2243	2372
486	2247	2367
487	2250	2361
488	2256	2358
489	2260	2353
490	2266	2349
491	2272	2346
492	2276	2341
493	2280	2335
494	2285	2332
495	2291	2328
496	2296	2324
497	2299	2318
498	2304	2313
499	2308	2308
500	2312	2303
501	2316	2298
502	2322	2295
503	2326	2289
504	2329	2283
505	2335	2280
506	2341	2277
507	2345	2271
508	2352	2269
509	2357	2265
510	2362	2260
511	2367	2256
512	2371	2251
513	2375	2246
514	2380	2242
515	2386	2238
516	2391	2234
517	2396	2229
518	2400	2224
519	2405	2220
520	2411	2217
521	2416	2213
522	2420	2208
523	2424	2202
524	2428	2197
525	2434	2193
526	2438	2188
527	2443	2184
528	2448	2179
529	2451	2173
530	2454	2167
531	2459	2163
532	2464	2159
533	2468	2154
534	2472	2148
535	2475	2142
536	2481	2139
537	2487	2136
538	2491	2131
539	2495	2125
