iter	Passed	Remaining
0	155	154925
1	163	81443
2	171	56880
3	179	44619
4	185	36947
5	192	31967
6	201	28514
7	208	25810
8	215	23745
9	222	21996
10	230	20680
11	236	19506
12	244	18590
13	253	17848
14	260	17126
15	267	16454
16	276	15997
17	283	15459
18	290	14990
19	298	14619
20	305	14230
21	314	13971
22	321	13641
23	328	13373
24	336	13139
25	344	12907
26	353	12746
27	362	12599
28	370	12394
29	379	12266
30	386	12082
31	394	11945
32	402	11786
33	411	11703
34	419	11556
35	427	11436
36	434	11309
37	442	11202
38	450	11096
39	458	11015
40	465	10894
41	474	10822
42	482	10730
43	489	10644
44	497	10555
45	505	10473
46	512	10381
47	519	10310
48	526	10226
49	533	10145
50	542	10097
51	550	10030
52	563	10068
53	582	10207
54	603	10375
55	617	10405
56	624	10333
57	631	10258
58	639	10205
59	647	10139
60	656	10100
61	666	10077
62	675	10048
63	686	10035
64	695	9998
65	704	9965
66	711	9906
67	720	9872
68	727	9821
69	740	9834
70	749	9809
71	760	9800
72	770	9778
73	777	9729
74	788	9719
75	796	9682
76	805	9659
77	814	9622
78	822	9588
79	830	9553
80	839	9524
81	848	9495
82	856	9464
83	866	9447
84	874	9415
85	884	9396
86	892	9367
87	902	9351
88	910	9324
89	918	9288
90	926	9254
91	934	9220
92	941	9185
93	949	9152
94	958	9127
95	966	9097
96	974	9068
97	982	9043
98	990	9013
99	1000	9000
100	1008	8973
101	1016	8949
102	1025	8926
103	1032	8899
104	1040	8865
105	1048	8842
106	1056	8819
107	1065	8798
108	1072	8768
109	1082	8761
110	1092	8750
111	1103	8749
112	1114	8751
113	1126	8752
114	1136	8745
115	1146	8735
116	1153	8708
117	1163	8696
118	1170	8668
119	1180	8655
120	1188	8632
121	1197	8617
122	1200	8558
123	1210	8552
124	1219	8535
125	1231	8539
126	1242	8540
127	1250	8521
128	1261	8516
129	1269	8492
130	1278	8482
131	1285	8455
132	1295	8444
133	1303	8423
134	1312	8407
135	1320	8387
136	1328	8370
137	1336	8349
138	1343	8324
139	1351	8303
140	1359	8281
141	1367	8261
142	1375	8242
143	1383	8222
144	1391	8204
145	1398	8180
146	1406	8163
147	1414	8140
148	1422	8123
149	1429	8100
150	1437	8084
151	1445	8062
152	1453	8044
153	1461	8026
154	1469	8011
155	1476	7989
156	1484	7973
157	1492	7952
158	1500	7935
159	1507	7915
160	1515	7898
161	1522	7878
162	1530	7861
163	1537	7839
164	1544	7817
165	1552	7799
166	1559	7778
167	1567	7761
168	1574	7741
169	1582	7724
170	1589	7704
171	1596	7687
172	1603	7667
173	1611	7650
174	1618	7632
175	1625	7612
176	1633	7595
177	1640	7576
178	1648	7560
179	1655	7542
180	1663	7526
181	1670	7508
182	1678	7492
183	1685	7474
184	1694	7462
185	1701	7445
186	1708	7428
187	1716	7413
188	1723	7394
189	1730	7379
190	1738	7364
191	1748	7357
192	1755	7338
193	1763	7327
194	1771	7313
195	1780	7302
196	1787	7286
197	1797	7280
198	1804	7263
199	1813	7252
200	1820	7237
201	1828	7223
202	1835	7207
203	1843	7194
204	1851	7179
205	1859	7165
206	1866	7149
207	1874	7137
208	1881	7122
209	1889	7108
210	1897	7093
211	1905	7081
212	1912	7067
213	1920	7052
214	1927	7038
215	1934	7022
216	1942	7010
217	1950	6996
218	1958	6984
219	1965	6969
220	1973	6957
221	1981	6942
222	1989	6930
223	1996	6914
224	2003	6901
225	2010	6885
226	2018	6873
227	2025	6859
228	2032	6844
229	2041	6833
230	2048	6818
231	2056	6807
232	2063	6792
233	2072	6784
234	2080	6773
235	2089	6764
236	2097	6752
237	2105	6740
238	2113	6730
239	2122	6722
240	2130	6710
241	2150	6737
242	2158	6725
243	2166	6713
244	2174	6702
245	2183	6691
246	2191	6680
247	2200	6671
248	2207	6657
249	2215	6646
250	2223	6634
251	2232	6625
252	2239	6612
253	2247	6601
254	2255	6588
255	2263	6577
256	2271	6567
257	2279	6556
258	2287	6545
259	2296	6535
260	2303	6523
261	2310	6508
262	2319	6499
263	2327	6488
264	2335	6476
265	2342	6463
266	2350	6452
267	2357	6440
268	2366	6430
269	2374	6419
270	2382	6410
271	2391	6399
272	2398	6388
273	2406	6377
274	2414	6366
275	2422	6355
276	2432	6348
277	2439	6336
278	2447	6325
279	2455	6314
280	2464	6306
281	2473	6297
282	2482	6288
283	2489	6275
284	2498	6267
285	2505	6254
286	2513	6244
287	2520	6231
288	2528	6220
289	2535	6208
290	2543	6196
291	2549	6182
292	2557	6170
293	2564	6157
294	2571	6145
295	2579	6134
296	2586	6121
297	2593	6110
298	2600	6095
299	2607	6083
300	2613	6070
301	2622	6060
302	2628	6047
303	2635	6034
304	2643	6023
305	2650	6010
306	2657	5998
307	2664	5986
308	2671	5974
309	2678	5962
310	2686	5952
311	2693	5939
312	2699	5925
313	2719	5940
314	2726	5928
315	2734	5918
316	2748	5922
317	2757	5913
318	2764	5902
319	2772	5892
320	2779	5879
321	2786	5867
322	2793	5854
323	2799	5841
324	2806	5828
325	2813	5816
326	2820	5804
327	2825	5789
328	2832	5777
329	2839	5764
330	2846	5752
331	2853	5741
332	2859	5728
333	2867	5717
334	2873	5704
335	2881	5694
336	2888	5683
337	2896	5673
338	2904	5663
339	2912	5653
340	2920	5644
341	2928	5633
342	2935	5623
343	2942	5612
344	2951	5604
345	2959	5593
346	2967	5584
347	2975	5574
348	2984	5566
349	2991	5556
350	3001	5549
351	3008	5537
352	3017	5530
353	3024	5519
354	3032	5510
355	3040	5499
356	3049	5492
357	3058	5484
358	3067	5476
