d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36,y
2,0.000000,0.000000,-0.001474,-0.000611,0.001104,-0.001907,0.009339,0.001788,0.003143,0.004329,0.001805,-0.026927,-0.014781,-0.007654,0.001631,-0.009041,0.010471,0.007749,-0.007811,0.006777,0.002282,-0.006955,0.009859,-0.011911,0.022094,-0.015638,0.022112,-0.005816,0.001033,0.018719,0.001020,-0.000465,0.001664,-0.000559,-0.000136,0.001741,-0.000998,-0.001350
1,0.000000,-0.001474,-0.000611,0.001104,-0.001907,0.009339,0.001788,0.003143,0.004329,0.001805,-0.026927,-0.014781,-0.007654,0.001631,-0.009041,0.010471,0.007749,-0.007811,0.006777,0.002282,-0.006955,0.009859,-0.011911,0.022094,-0.015638,0.022112,-0.005816,0.001033,0.018719,0.001020,-0.000465,0.001664,-0.000559,-0.000136,0.001741,-0.000998,-0.000133,-0.001350
0,-0.001474,-0.000611,0.001104,-0.001907,0.009339,0.001788,0.003143,0.004329,0.001805,-0.026927,-0.014781,-0.007654,0.001631,-0.009041,0.010471,0.007749,-0.007811,0.006777,0.002282,-0.006955,0.009859,-0.011911,0.022094,-0.015638,0.022112,-0.005816,0.001033,0.018719,0.001020,-0.000465,0.001664,-0.000559,-0.000136,0.001741,-0.000998,-0.000133,-0.001065,-0.001350
2,-0.000611,0.001104,-0.001907,0.009339,0.001788,0.003143,0.004329,0.001805,-0.026927,-0.014781,-0.007654,0.001631,-0.009041,0.010471,0.007749,-0.007811,0.006777,0.002282,-0.006955,0.009859,-0.011911,0.022094,-0.015638,0.022112,-0.005816,0.001033,0.018719,0.001020,-0.000465,0.001664,-0.000559,-0.000136,0.001741,-0.000998,-0.000133,-0.001065,0.000746,0.003500
1,0.001104,-0.001907,0.009339,0.001788,0.003143,0.004329,0.001805,-0.026927,-0.014781,-0.007654,0.001631,-0.009041,0.010471,0.007749,-0.007811,0.006777,0.002282,-0.006955,0.009859,-0.011911,0.022094,-0.015638,0.022112,-0.005816,0.001033,0.018719,0.001020,-0.000465,0.001664,-0.000559,-0.000136,0.001741,-0.000998,-0.000133,-0.001065,0.000746,-0.000652,0.003500
0,-0.001907,0.009339,0.001788,0.003143,0.004329,0.001805,-0.026927,-0.014781,-0.007654,0.001631,-0.009041,0.010471,0.007749,-0.007811,0.006777,0.002282,-0.006955,0.009859,-0.011911,0.022094,-0.015638,0.022112,-0.005816,0.001033,0.018719,0.001020,-0.000465,0.001664,-0.000559,-0.000136,0.001741,-0.000998,-0.000133,-0.001065,0.000746,-0.000652,-0.000172,0.003500
2,0.009339,0.001788,0.003143,0.004329,0.001805,-0.026927,-0.014781,-0.007654,0.001631,-0.009041,0.010471,0.007749,-0.007811,0.006777,0.002282,-0.006955,0.009859,-0.011911,0.022094,-0.015638,0.022112,-0.005816,0.001033,0.018719,0.001020,-0.000465,0.001664,-0.000559,-0.000136,0.001741,-0.000998,-0.000133,-0.001065,0.000746,-0.000652,-0.000172,0.000879,0.003450
1,0.001788,0.003143,0.004329,0.001805,-0.026927,-0.014781,-0.007654,0.001631,-0.009041,0.010471,0.007749,-0.007811,0.006777,0.002282,-0.006955,0.009859,-0.011911,0.022094,-0.015638,0.022112,-0.005816,0.001033,0.018719,0.001020,-0.000465,0.001664,-0.000559,-0.000136,0.001741,-0.000998,-0.000133,-0.001065,0.000746,-0.000652,-0.000172,0.000879,0.000976,0.003450
0,0.003143,0.004329,0.001805,-0.026927,-0.014781,-0.007654,0.001631,-0.009041,0.010471,0.007749,-0.007811,0.006777,0.002282,-0.006955,0.009859,-0.011911,0.022094,-0.015638,0.022112,-0.005816,0.001033,0.018719,0.001020,-0.000465,0.001664,-0.000559,-0.000136,0.001741,-0.000998,-0.000133,-0.001065,0.000746,-0.000652,-0.000172,0.000879,0.000976,0.001716,0.003450
2,0.004329,0.001805,-0.026927,-0.014781,-0.007654,0.001631,-0.009041,0.010471,0.007749,-0.007811,0.006777,0.002282,-0.006955,0.009859,-0.011911,0.022094,-0.015638,0.022112,-0.005816,0.001033,0.018719,0.001020,-0.000465,0.001664,-0.000559,-0.000136,0.001741,-0.000998,-0.000133,-0.001065,0.000746,-0.000652,-0.000172,0.000879,0.000976,0.001716,-0.000380,0.006750
1,0.001805,-0.026927,-0.014781,-0.007654,0.001631,-0.009041,0.010471,0.007749,-0.007811,0.006777,0.002282,-0.006955,0.009859,-0.011911,0.022094,-0.015638,0.022112,-0.005816,0.001033,0.018719,0.001020,-0.000465,0.001664,-0.000559,-0.000136,0.001741,-0.000998,-0.000133,-0.001065,0.000746,-0.000652,-0.000172,0.000879,0.000976,0.001716,-0.000380,0.001522,0.006750
0,-0.026927,-0.014781,-0.007654,0.001631,-0.009041,0.010471,0.007749,-0.007811,0.006777,0.002282,-0.006955,0.009859,-0.011911,0.022094,-0.015638,0.022112,-0.005816,0.001033,0.018719,0.001020,-0.000465,0.001664,-0.000559,-0.000136,0.001741,-0.000998,-0.000133,-0.001065,0.000746,-0.000652,-0.000172,0.000879,0.000976,0.001716,-0.000380,0.001522,0.004574,0.006750
2,-0.014781,-0.007654,0.001631,-0.009041,0.010471,0.007749,-0.007811,0.006777,0.002282,-0.006955,0.009859,-0.011911,0.022094,-0.015638,0.022112,-0.005816,0.001033,0.018719,0.001020,-0.000465,0.001664,-0.000559,-0.000136,0.001741,-0.000998,-0.000133,-0.001065,0.000746,-0.000652,-0.000172,0.000879,0.000976,0.001716,-0.000380,0.001522,0.004574,0.006744,0.007400
