d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36
0,0.000000,0.000026,-0.000055,0.000153,0.000251,-0.000683,-0.004980,-0.017178,0.002342,-0.030362,-0.012592,-0.015154,0.001991,-0.034120,-0.014499,-0.000082,0.010095,-0.001683,0.005971,0.009400,-0.007021,-0.003263,-0.010745,0.001571,-0.004391,0.001060,-0.005068,-0.004321,0.023005,-0.020987,0.002282,0.002643,0.001334,-0.000309,0.000208,-0.001151,0.000994
0,0.000000,0.000719,-0.000014,0.000150,-0.000211,0.000713,-0.000045,0.004623,-0.000340,0.001108,0.001514,-0.003377,-0.000028,-0.002787,0.000889,-0.000203,0.000729,0.000449,-0.000530,0.000293,-0.004480,-0.009310,-0.021720,-0.012534,-0.012453,0.001409,-0.007407,0.006571,0.010225,-0.076709,0.002814,0.009859,0.000140,-0.010257,0.000218,-0.001430,-0.002889
0,0.000000,0.000000,0.000000,-0.000053,0.000322,-0.010729,-0.010038,-0.017159,0.009817,-0.036122,-0.002571,-0.021978,0.022433,-0.043821,-0.022233,0.022595,0.009590,-0.002761,0.006807,0.014191,-0.012621,0.002953,-0.008539,-0.006923,0.003888,0.011756,-0.028166,0.005315,0.032651,-0.018697,0.002527,-0.005457,0.000086,0.000114,0.000448,0.000005,0.000846
0,0.000000,0.000015,-0.000010,0.000011,0.000000,-0.000018,-0.000004,-0.000078,0.000037,0.000048,0.000075,0.000144,-0.000149,0.000083,0.000052,-0.000083,-0.000935,-0.003600,-0.005431,0.000790,-0.015127,-0.011612,-0.029420,-0.012697,0.012952,0.015843,-0.037060,-0.002676,0.021826,-0.045901,0.006996,0.001574,0.008045,0.000604,0.000670,0.002964,0.004390
0,0.000000,-0.000013,0.000003,-0.000004,0.000035,0.000003,0.000015,0.000013,-0.003155,-0.003425,-0.007374,-0.013837,-0.009841,-0.017304,-0.006008,-0.006321,0.006259,-0.008397,-0.005479,0.015480,-0.008065,-0.002528,-0.012233,0.004543,-0.004925,0.006234,-0.008285,0.017752,0.002103,-0.031047,0.005334,0.006868,0.003453,0.000595,-0.000059,0.002470,0.000268
0,0.000000,-0.014600,0.003379,-0.003459,-0.000490,0.004668,-0.000298,-0.008457,-0.001604,0.004124,-0.018502,0.004724,-0.010812,-0.000373,0.000819,-0.004318,0.009961,-0.010949,0.001106,0.022141,-0.012518,0.011108,-0.005929,0.002887,-0.012300,-0.006220,0.016243,-0.004438,0.011613,-0.032008,0.006011,0.007933,0.006436,-0.010973,0.000244,-0.002117,0.001251
0,0.000000,-0.006238,0.002492,-0.002114,0.011112,-0.002134,0.011674,-0.010438,-0.000095,-0.002893,-0.010011,-0.003762,-0.002100,-0.006961,-0.018377,0.000732,0.009314,-0.000112,0.005703,0.009948,-0.015601,0.008096,-0.006598,0.005080,-0.012202,0.000289,-0.005859,0.035032,0.022119,-0.054747,0.004971,0.014537,0.013934,-0.026697,-0.000240,-0.002211,0.000435
0,0.000000,-0.001829,0.000254,-0.000203,0.033549,-0.016090,0.015846,-0.003731,0.000531,-0.039119,0.028185,-0.024992,0.028390,-0.018588,-0.057183,0.047030,0.001774,-0.004966,0.021030,-0.000415,-0.037008,0.008506,-0.005703,0.011657,-0.001781,0.020502,-0.046513,0.064334,0.040841,-0.074254,0.010819,-0.014859,0.004369,-0.009418,-0.000007,-0.000259,0.000063
0,0.000000,-0.013951,0.001781,-0.003239,-0.001047,0.004864,0.000254,-0.003963,0.000970,0.013877,-0.016769,0.007691,-0.011528,0.004952,0.000165,-0.007285,0.015620,-0.007759,0.005613,0.024656,-0.021039,0.004631,-0.005459,0.004289,-0.010013,-0.009423,0.014614,0.004630,0.012615,-0.037907,0.016065,0.001957,-0.000104,-0.003143,0.000416,-0.006762,0.000215
0,0.000000,-0.000192,-0.000068,-0.000266,0.025272,-0.012638,0.007588,-0.004270,0.003658,-0.039502,0.024535,-0.023515,0.029525,-0.020501,-0.045048,0.045010,0.001426,-0.004808,0.021251,0.005701,-0.029908,0.009505,-0.005303,0.011110,0.001949,0.017350,-0.042268,0.040869,0.038482,-0.054113,0.009931,-0.016583,0.000092,-0.000035,0.000066,0.000466,0.000094
