d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36
0,0.000000,0.000163,0.000091,-0.000185,-0.000098,-0.008488,-0.009090,-0.011747,-0.027902,-0.018082,-0.029597,-0.010836,-0.000284,0.015865,-0.028263,0.013542,0.001046,-0.041551,0.013191,0.008197,0.011429,0.012553,0.000108,0.085606,0.072592,0.001085,-0.002683,-0.025250,-0.014245,-0.014233,-0.014210,-0.003252,-0.002883,-0.005657,0.000203,0.002235,-0.000683
0,0.000000,0.000000,0.002251,-0.001024,-0.002631,-0.017144,-0.006268,0.000942,-0.014076,0.008535,-0.025073,-0.008305,-0.016207,0.008934,-0.014542,0.028458,-0.002339,-0.029027,0.006429,0.007717,0.013325,0.017688,0.000028,0.063632,0.050321,0.002419,-0.003391,-0.029249,-0.032290,-0.000699,-0.012352,-0.004833,-0.010981,-0.002629,-0.000656,-0.002802,0.000360
0,0.000000,0.002152,0.002885,0.003510,0.005206,0.012428,0.000574,0.001210,-0.000643,0.000335,0.004091,0.001150,0.000438,-0.002235,-0.001032,0.007360,0.004375,0.006142,0.011403,0.002299,0.001448,0.004235,0.000065,0.009136,0.008649,0.001660,0.000390,-0.000558,-0.004280,-0.028436,-0.024185,0.000106,0.019297,-0.039911,-0.004549,0.028681,-0.018394
0,0.000000,0.000000,0.002760,0.006180,-0.007197,-0.018032,-0.006361,0.003290,-0.006995,0.008792,-0.023056,-0.010278,-0.020638,0.017936,-0.013048,0.004521,0.019241,-0.029012,0.007532,0.003539,0.011829,0.004979,0.000119,0.056381,0.050508,0.002912,0.001760,-0.028167,-0.030841,-0.003422,-0.012524,-0.003779,-0.006265,-0.002828,0.001038,-0.000851,-0.000256
0,0.000000,0.000000,0.000000,0.001147,-0.006687,0.000347,-0.003721,-0.004791,-0.011497,-0.001424,-0.019755,-0.011973,0.002083,0.016260,-0.027582,-0.004932,0.025370,-0.031898,0.004330,0.003225,0.004706,0.001967,0.000525,0.058159,0.056184,0.002667,0.000723,-0.019871,-0.020169,-0.014885,-0.003936,-0.001604,-0.002190,-0.003356,-0.001958,-0.002281,-0.000289
0,0.000000,0.002529,-0.006702,-0.001489,-0.019991,-0.006225,0.006146,-0.013461,-0.008976,-0.006118,-0.023478,-0.001421,0.007643,0.005921,-0.022984,0.048307,-0.001487,-0.049287,0.006584,0.013920,0.005399,0.019731,0.000068,0.056740,0.052881,0.003399,-0.001689,-0.018729,-0.019716,-0.011195,-0.006898,-0.002023,-0.006107,-0.000205,-0.002226,-0.005211,-0.002061
0,0.000000,-0.018850,-0.029618,0.043145,-0.009668,-0.018877,0.041427,0.011931,-0.028402,0.014339,-0.012781,0.017700,0.006133,0.013843,-0.043387,-0.000251,0.053585,-0.026905,0.018875,-0.017220,0.000181,-0.000294,0.000481,0.014402,0.002093,0.002384,0.019275,0.001567,-0.010876,-0.008529,-0.004105,-0.006864,-0.000201,-0.004447,-0.000687,-0.016640,-0.000932
0,0.000000,0.002391,-0.007857,0.001869,-0.023566,-0.006504,0.006954,-0.013348,-0.006602,0.001999,-0.027957,-0.004027,0.009252,0.009696,-0.033183,0.022359,0.022193,-0.045469,0.018232,0.015450,0.010484,0.011065,0.000084,0.040560,0.044085,0.004236,0.003840,-0.011395,-0.008910,-0.016177,-0.006911,0.000375,-0.000162,0.000376,-0.000431,-0.005466,-0.000996
0,0.000000,0.000730,-0.042332,0.053808,-0.003362,-0.042371,0.063531,-0.006329,-0.036546,0.013938,-0.009224,0.029484,0.000684,0.009916,-0.029839,-0.002495,0.053843,-0.044081,0.038140,-0.029918,0.001934,0.002511,0.000277,0.027917,0.014881,0.001273,0.016441,-0.005152,-0.014530,-0.009108,-0.005581,-0.007020,0.001240,-0.006037,-0.000931,-0.018066,-0.001632
0,0.000000,-0.000722,-0.037306,0.042369,0.001424,-0.043278,0.049540,-0.003682,-0.038802,0.006936,-0.010908,0.018259,-0.006234,0.014464,-0.024288,0.005093,0.053298,-0.053040,0.036565,-0.012757,0.016190,-0.021278,0.000204,0.037515,0.034320,0.001224,0.001029,-0.017524,-0.009051,-0.003810,-0.005615,-0.000323,0.001225,-0.005021,0.000466,-0.001507,-0.002030
